Gene Name, Locus Tag (prokka_output),Locus Tag (K12 reference),Start of Gene,End of Gene,Strand,UniProt ID,Protein Product,Anc_rep1,Anc_rep2,Anc_ave,Anc*_rep1,Anc*_rep2,Anc*_ave,Ara–1_rep1,Ara–1_rep2,Ara–1_ave,Ara–2_rep1,Ara–2_rep2,Ara–2_ave,Ara–3_rep1,Ara–3_rep2,Ara–3_ave,Ara–4_rep1,Ara–4_rep2,Ara–4_ave,Ara–5_rep1,Ara–5_rep2,Ara–5_ave,Ara–6_rep1,Ara–6_rep2,Ara–6_ave,Ara+1_rep1,Ara+1_rep2,Ara+1_ave,Ara+2_rep1,Ara+2_rep2,Ara+2_ave,Ara+3_rep1,Ara+3_rep2,Ara+3_ave,Ara+4_rep1,Ara+4_rep2,Ara+4_ave,Ara+5_rep1,Ara+5_rep2,Ara+5_ave,Ara+6_rep1,Ara+6_rep2,Ara+6_ave,LocusID
thrA,FJKNNBLA_00001,b0002,336,2798,1,P00561,fused aspartate kinase/homoserine dehydrogenase 1,-0.5835559523912816,-0.5073323742424138,-0.5454441633168476,-0.48186895023554954,-0.4422264328463808,-0.46204769154096514,-0.45960022939399814,-0.43380629557481265,-0.4467032624844054,-0.1503852761034033,-0.15110793925795196,-0.15074660768067763,-0.48665172175606175,-0.47171541110350895,-0.4791835664297853,-0.40951419070747697,-0.3762255953558344,-0.39286989303165565,-0.44471077075871046,-0.3990713976865657,-0.4218910842226381,-0.4261336924612709,-0.39001756930603526,-0.40807563088365306,-0.37306538974817127,-0.3485197303806517,-0.3607925600644115,-0.4371479759880963,-0.5079478225414418,-0.47254789926476903,-0.3990448841284113,-0.4618663278447058,-0.4304556059865586,-0.5575349716818541,-0.5671900927525625,-0.5623625322172083,-0.4500345104831045,-0.392443081949989,-0.42123879621654675,-0.4176906956056656,-0.3815131647272921,-0.3996019301664788,ECB_00002
thrB,FJKNNBLA_00002,b0003,2800,3732,1,P00547,homoserine kinase,-0.4411717410895666,-0.4762770192395427,-0.45872438016455463,-0.42329134878241936,-0.4763201256047303,-0.44980573719357486,-0.52470268711636,-0.41991726836915466,-0.47230997774275735,-0.12130938932700153,-0.1333374503118981,-0.1273234198194498,-0.5189996177991509,-0.5532575078469611,-0.5361285628230561,-0.3937697722348153,-0.33613510324824025,-0.36495243774152775,-0.3439164574940754,-0.3532182721015497,-0.3485673647978126,-0.4661132488283359,-0.40472277742135115,-0.4354180131248435,-0.3448522666539512,-0.3625618888017741,-0.35370707772786264,-0.46052761483657206,-0.35521883901742574,-0.4078732269269989,-0.37837685439329394,-0.4221103052308058,-0.40024357981204983,-0.44407044150048053,-0.4818525165515237,-0.46296147902600215,-0.5803853477124625,-0.5052245999934015,-0.542804973852932,-0.3007976449686815,-0.37060716483901923,-0.3357024049038504,ECB_00003
thrC,FJKNNBLA_00003,b0004,3733,5019,1,P00934,threonine synthase,-0.5293831486611938,-0.48393775859347565,-0.5066604536273347,-0.5303905231604882,-0.5305809372868833,-0.5304857302236857,-0.5022304002895415,-0.4848791535161724,-0.49355477690285693,-0.13239514540890301,-0.11240176668707252,-0.12239845604798777,-0.5431008957535067,-0.45755043579015064,-0.5003256657718287,-0.34635570691013995,-0.4964419343799193,-0.42139882064502965,-0.39914043171081165,-0.3871493102667611,-0.39314487098878637,-0.5177141399042011,-0.32746472226289003,-0.4225894310835456,-0.2972832967845393,-0.30127147285777495,-0.2992773848211571,-0.4527853890829688,-0.5329033420658372,-0.49284436557440303,-0.4177574905884552,-0.40812175930578026,-0.4129396249471177,-0.09966712053584503,-0.3399287194371981,-0.21979791998652157,-0.4365700489409567,-0.36133389376900954,-0.3989519713549831,-0.3083286546222384,-0.32553825585509805,-0.3169334552386682,ECB_00004
yaaX,FJKNNBLA_00004,b0005,5232,5528,1,P75616,DUF2502 domain-containing protein YaaX,0.008558604656876667,0.007192997135416269,0.007875800896146468,-0.05849874330487052,-0.011813587641753819,-0.03515616547331217,-0.007244940379123091,0.0005502566372408623,-0.003347341870941114,0.02102722839386484,-0.008094890728152726,0.006466168832856056,0.007105601961503971,0.004595368738303782,0.005850485349903876,0.00642255726433636,-0.004440067748003668,0.0009912447581663457,0.02314861036413349,0.021397461156244482,0.022273035760188985,-0.0021973135104421636,-0.008957135571965041,-0.005577224541203602,0.006032568688063819,0.0033517226770987305,0.0046921456825812745,0.005052087580961285,0.0014737247960637393,0.0032629061885125123,0.009271199964032195,0.011407190831651494,0.010339195397841845,3.0151962027605977e-05,0.0021172277194702683,0.0010736898407489371,0.010898660692088074,0.02378184533830065,0.017340253015194363,-0.008147907554194145,-0.03815235533970747,-0.023150131446950807,ECB_00005
yaaA,FJKNNBLA_00005,b0006,6457,5681,-1,P0A8I3,peroxide stress resistance protein YaaA,0.011352551959703163,-0.010802514910179962,0.00027501852476160063,0.00187137269364771,0.019877185325802564,0.010874279009725138,-0.005984477273231979,-0.0009846971969806658,-0.0034845872351063224,-0.011408995593122334,-0.0025867822615668334,-0.006997888927344584,0.0007475911291444353,0.00237373961186929,0.0015606653705068627,0.008715455552924023,0.0015544439045943733,0.005134949728759199,0.0022419111581106245,0.0016063683726276548,0.0019241397653691397,0.017051239083005286,0.008102327839515717,0.012576783461260501,-0.004090387597562462,0.001094408448426281,-0.0014979895745680905,0.007411550938507551,0.00017489444031344118,0.003793222689410496,0.0019242124405766626,-0.0013205151188364003,0.00030184866087013115,-0.047242263152468364,-0.06446818258898258,-0.055855222870725474,0.0034639993043680695,0.0032456954237694248,0.003354847364068747,0.008796926354180695,0.0010227094741482347,0.004909817914164465,ECB_00006
yaaJ,FJKNNBLA_00006,b0007,7957,6527,-1,P30143,putative transporter YaaJ,0.008011018865600393,0.0036060455916324956,0.005808532228616444,0.0038726007673924572,-0.0012238601933098545,0.0013243702870413014,-0.01956888465457532,-0.0057330147282148225,-0.012650949691395071,-0.01110912597660546,-0.0005584046753780436,-0.005833765325991752,0.002989790365937419,0.0056379691355326516,0.004313879750735035,0.0008832384348234799,0.002751149274825721,0.0018171938548246004,0.0061421235484040455,0.004331657574661968,0.005236890561533007,-0.000706302059701746,0.008314064731821953,0.0038038813360601036,0.004986484129789575,0.0006617253905422007,0.0028241047601658877,-0.005041935807515253,-0.01042686446516456,-0.007734400136339907,0.00467712972929799,-0.02254658483752296,-0.008934727554112485,-0.02524178815017126,-0.010537074486811545,-0.0178894313184914,0.010589937667603947,0.0072480409505259495,0.008918989309064948,-0.006246727740248953,-0.01734117318284734,-0.011793950461548146,ECB_00007
talB,FJKNNBLA_00007,b0008,8236,9189,1,P0A870,transaldolase B,0.004657553051468084,-1.112136810037679e-05,0.0023232158416838537,0.017567590532371523,0.016322842054800512,0.016945216293586016,-0.011930224493429863,-0.01161571275567429,-0.011772968624552077,0.00036215338444020584,0.0013625551080845288,0.0008623542462623673,-0.021727984728428542,-0.024614202808846988,-0.023171093768637765,-0.03147252335252486,-0.013397878709788006,-0.022435201031156433,-0.019138782728642573,-0.0076022184076254854,-0.01337050056813403,-0.03721837945687809,-0.025140516570487777,-0.031179448013682932,-0.05254691807949259,-0.04722679902638035,-0.04988685855293647,-0.10940404633492912,-0.07610512730573794,-0.09275458682033352,-0.02501573000694722,-0.029025946964338946,-0.027020838485643083,-0.11441957559327534,-0.24176419661539092,-0.17809188610433313,-0.030751740955499082,-0.010978748106502328,-0.020865244531000707,-0.01633221093592877,-0.03521338011086189,-0.025772795523395328,ECB_00008
mog,FJKNNBLA_00008,b0009,9304,9891,1,P0AF03,molybdopterin adenylyltransferase,-0.01340122451899708,0.006639694055980879,-0.0033807652315081004,-0.013514819100622718,-0.020704201871045762,-0.01710951048583424,-0.005813844377780276,-0.001512864896481495,-0.0036633546371308856,-0.012811321197935599,-0.01775426301139213,-0.015282792104663864,0.0033173015280698634,0.0014598404522226886,0.002388570990146276,3.427845178713071e-05,0.00567211193558677,0.0028531951936869504,0.0068599361697688765,-0.0021316610272278875,0.0023641375712704945,-0.009801333851679582,-0.022278122158449355,-0.01603972800506447,0.005946644549965395,-0.009251095774462158,-0.0016522256122483816,-0.005374203869122635,0.007494018530661176,0.0010599073307692706,0.020212333540116315,-0.007106053151318624,0.006553140194398846,-0.19307541154223293,-0.1468569361759439,-0.1699661738590884,-0.003604805966572061,0.0032300176236286127,-0.0001873941714717242,-0.012574948674419596,0.004502753666558727,-0.0040360975039304345,ECB_00009
satP,FJKNNBLA_00009,b0010,10492,9926,-1,P0AC98,acetate/succinate:H(+)symporter,0.004236363097921191,0.005825841349664359,0.005031102223792775,0.014115285280107182,0.008914823228058522,0.011515054254082852,-0.006628658723896336,0.0006837574346331993,-0.0029724506446315684,-0.009558894599115658,0.01135725913369845,0.0008991822672913957,0.007812258211259005,0.013663206925429577,0.010737732568344292,0.012299759586141788,0.015940014908219426,0.014119887247180607,0.0061313060385649095,0.01607291160183077,0.01110210882019784,0.009561316855723128,0.012152803766573033,0.010857060311148081,0.0033558199071964424,0.006434558589055244,0.004895189248125843,0.0003381411842002151,-0.006181558585029146,-0.0029217087004144654,-0.0010803080578974987,0.006750097917255973,0.002834894929679237,-0.05477093697359273,-0.051885348269888686,-0.05332814262174071,0.01578731494659598,0.0076034632792405035,0.011695389112918241,-0.01625805027448085,0.004498243843465671,-0.00587990321550759,ECB_00010
yaaW,FJKNNBLA_00010,b0011,11354,10641,-1,P75617,putative enzyme-specific chaperone YaaW,0.019306423858853068,0.0026434293599138102,0.010974926609383439,0.0022276762012673253,0.007526763732037374,0.00487721996665235,0.001472327962824497,0.010293197193534151,0.005882762578179324,0.003021511722532788,-0.019369463291726396,-0.008173975784596804,-0.0029018747029137476,0.005355946220833588,0.00122703575895992,0.0070879282389317505,0.009726482427949922,0.008407205333440837,0.007863517433240666,0.00955114468980485,0.008707331061522758,0.0034698365740662394,0.007211289465673535,0.005340563019869887,0.0007676656790078285,-0.0016706430101359978,-0.00045148866556408464,0.0042843884376190956,0.012534047241257276,0.008409217839438186,0.022372429494298726,-0.003256094092434084,0.009558167700932322,-0.1210902581828712,-0.06637833393136883,-0.09373429605712001,0.004490161386368163,0.012365864814643693,0.008428013100505928,-0.011617841409045503,-0.010896550847321548,-0.011257196128183525,ECB_00011
